100 536 11125 540 8875 545 8667 552 8750 531 9209 546 8250 540 8625 537 8125 543 10542 532 8375 546 8334 528 8333 542 8333 547 8333 541 8208 549 8083 533 9083 542 8125 537 8375 550 8584 542 8167 541 8250 541 8166 543 8083 546 8500 544 8166 545 8042 537 8000 542 8166 546 9542 547 8375 543 8083 540 8333 545 9125 540 8167 549 8042 538 8500 536 8916 548 8291 544 8542
200 1276 20167 1293 19875 1275 19250 1284 21666 1275 20667 1284 19958 1284 33291 1278 20209 1282 19375 1282 19709 1268 21625 1285 19333 1282 18750 1268 22084 1277 21167 1284 23125 1268 18750 1287 18833 1283 18458 1285 20125 1249 18667 1271 18208 1283 18666 1276 18333 1283 18208 1280 18667 1266 18458 1285 18542 1275 19666 1296 18333 1286 18834 1288 18458 1279 20708 1276 20500 1280 19292 1279 20542 1296 18250 1284 18541 1291 18584 1272 18333
300 2100 32584 2100 32750 2088 32667 2104 30708 2098 30125 2103 31458 2096 30125 2097 30375 2096 28375 2100 28792 2102 29417 2115 28209 2092 28583 2097 29125 2095 37250 2091 28792 2097 29583 2090 28792 2114 29667 2092 28292 2112 28500 2092 29792 2107 28667 2093 28417 2093 29542 2105 28292 2092 28750 2099 29208 2094 28708 2105 28750 2094 28291 2085 28584 2102 29042 2091 28750 2081 28583 2114 36875 2095 31167 2104 29500 2092 29917 2102 29750
400 2960 151542 2968 45250 2962 43875 2958 43792 2941 43291 2948 41500 2979 41292 2959 41375 2966 41959 2966 42583 2963 41666 2962 41166 2951 40666 2974 41000 2963 42500 2954 41750 2963 41625 2960 41042 2962 41292 2977 41084 2962 42750 2997 43291 2955 41625 2958 40833 2974 40875 2972 41792 2968 41625 2950 41667 2945 40959 2976 41542 2949 41292 2957 41958 2973 41375 2956 41208 2957 41375 2960 41041 2949 40875 2967 42208 2955 42500 2962 41333
500 3860 60041 3873 57250 3861 56083 3850 55708 3819 55542 3856 55250 3855 56291 3856 55417 3856 55958 3862 55292 3852 71875 3841 59459 3871 56125 3841 55166 3848 54750 3853 54792 3859 55042 3868 56167 3858 54500 3812 54375 3853 54917 3861 55250 3850 61875 3863 55000 3874 55000 3849 54459 3847 54458 3812 54291 3853 54542 3860 54334 3831 54375 3832 53167 3879 53000 3850 52875 3858 53459 3850 53625 3851 53958 3844 51292 3849 51750 3846 55458
600 4781 71292 4821 67667 4781 68292 4797 68500 4798 69458 4756 65917 4801 65500 4807 66542 4790 66208 4805 66583 4795 65834 4803 66084 4801 66458 4814 66042 4784 65875 4806 65458 4800 66417 4803 66625 4796 66250 4798 66208 4786 65334 4787 66125 4802 81083 4811 70375 4782 68125 4829 67375 4804 78167 4779 69875 4808 68042 4789 67917 4780 68583 4787 68542 4783 68875 4793 67750 4823 68625 4806 68167 4785 69000 4812 67375 4794 67708 4807 68041
700 5761 83042 5757 80333 5753 79125 5769 79791 5726 78750 5748 80208 5774 80209 5746 147917 5723 81500 5729 78375 5755 79583 5733 78084 5779 79750 5771 80500 5728 79875 5739 81667 5739 82584 5768 81750 5759 81125 5751 80917 5746 81875 5691 80792 5736 81083 5758 80584 5755 81292 5740 80666 5755 79834 5746 84250 5703 80750 5746 81875 5723 81209 5725 81541 5744 80458 5739 82791 5739 81250 5744 94042 5750 80333 5749 81000 5744 78583 5752 79041
800 6689 98250 6705 94083 6756 98042 6730 93833 6706 93250 6719 92916 6748 94458 6725 94333 6699 94375 6735 94625 6729 93042 6727 94208 6720 91959 6678 90708 6721 91041 6702 91375 6728 91417 6711 91792 6724 91000 6738 91542 6719 91541 6710 91333 6730 92292 6729 90458 6745 91666 6723 91792 6726 90875 6736 91375 6722 92000 6752 91167 6745 91625 6688 90500 6721 91417 6710 90625 6715 91125 6730 91500 6710 90125 6732 91916 6738 91542 6717 92834
900 7713 107750 7732 104125 7704 102875 7746 100708 7712 99625 7686 99833 7715 100167 7711 99041 7704 99458 7731 99750 7703 99583 7719 99417 7721 99375 7701 99375 7706 105084 7694 109958 7720 106958 7691 115958 7707 109084 7701 108167 7707 106959 7731 107000 7709 106333 7762 106792 7704 107959 7729 106208 7729 107041 7727 108958 7672 105834 7691 107042 7700 127542 7726 108084 7664 107625 7701 107416 7741 104250 7728 104875 7720 103625 7709 104375 7719 102125 7689 99958
1000 8706 120292 8719 117459 8701 117458 8696 113083 8715 113083 8715 112209 8723 112958 8701 115208 8690 123333 8704 121625 8689 120792 8680 120458 8693 123500 8722 121000 8696 120291 8693 122625 8701 118166 8714 117084 8713 120500 8692 122333 8704 120375 8704 120375 8720 122500 8747 120625 8719 119458 8688 118792 8712 112125 8695 112208 8700 112542 8700 112084 8693 111833 8693 111875 8725 112708 8709 120000 8696 117208 8721 116875 8686 117708 8691 116916 8705 117208 8707 116916
1100 9708 169209 9725 137208 9730 135417 9709 136708 9760 134458 9742 132000 9763 131500 9761 136292 9728 135208 9732 135333 9773 136292 9743 133000 9732 131709 9726 131667 9786 130791 9727 130375 9767 137333 9735 135042 9747 134375 9752 130958 9746 131250 9737 132167 9747 131250 9762 135833 9770 131083 9731 131209 9734 131125 9768 131292 9752 128334 9702 125958 9766 136084 9698 144250 9737 136208 9752 130167 9724 133625 9773 137541 9749 130375 9762 134875 9727 126542 9754 126667
1200 10772 153334 10815 150083 10779 165625 10791 150583 10781 149333 10776 143250 10777 139208 10785 142833 10793 146125 10791 144250 10765 150583 10795 149834 10803 154333 10769 159458 10796 161500 10806 157667 10746 145083 10798 156500 10761 150333 10803 156042 10789 151584 10776 150291 10808 148708 10785 149667 10773 149666 10814 149750 10792 170875 10776 149458 10776 146834 10766 149208 10801 149750 10789 142792 10805 154917 10777 139375 10791 138875 10752 139125 10791 161000 10798 140125 10772 170959 10782 156167
