100 793 5958 751 5541 734 5583 730 5166 685 4917 753 5250 729 5084 707 4875 699 4958 727 5334 740 5333 752 5208 715 5167 783 5208 743 5125 687 4917 674 4875 753 5333 723 4958 727 5000 711 4875 709 5000 748 5167 814 5625 750 5167 746 5292 689 4833 810 5417 697 4917 767 5166 704 5000 766 5167 706 5125 732 4916 727 5000 678 4875 672 4791 762 5125 735 4959 763 5166
200 1793 13500 1794 12875 1748 12709 1751 13000 1891 12625 1910 13042 1802 12666 1892 12459 1828 12292 1949 13375 1887 12708 1806 12500 1867 12792 1810 12625 1802 12667 2000 13333 1772 12083 1852 12125 1868 12750 1800 12333 1897 12417 1905 12834 1727 12000 1790 12417 1781 12292 1854 12417 1659 12042 1837 13250 1870 12459 1876 12500 1863 12625 1939 12792 1889 12333 1722 11791 1904 12709 1878 12625 1807 12333 1823 12500 1802 12167 1816 12375
300 2972 21708 3050 21333 3213 21542 2937 20667 3154 21125 2923 20125 3040 20625 3084 21250 2964 20541 2953 20209 2869 19916 3018 21166 3248 21500 3143 21333 3123 21167 3188 21708 3208 21625 2967 20417 2900 20333 2996 20375 3027 20791 3073 20958 3107 25708 3049 20833 3149 23166 2991 21166 3101 21833 2995 21125 3160 21875 3259 21458 3036 20458 2984 19750 3003 20625 3313 21209 3006 19958 2960 20167 3082 20250 2945 19833 3044 20250 2984 20250
400 4351 66042 4495 197209 4388 65208 4514 31125 4301 29833 4601 30292 4490 30208 4372 29833 4811 31959 4773 31292 4444 30042 4352 29708 4339 30375 4379 30125 4693 29916 4328 28833 4255 28875 4216 28750 4374 29125 4447 28334 4263 27292 4551 28333 4604 28458 4690 28542 4331 27583 4385 27709 4411 28084 4623 28292 4290 27708 4599 28708 4349 27792 4269 27125 4349 27833 4452 28000 4382 28000 4840 30833 4350 33208 4197 28750 4570 30542 4431 29958
500 5706 39334 5766 39291 5642 38667 5934 39708 5968 40000 5675 38834 6193 40708 5858 39292 5811 39125 5753 38541 5580 38500 5743 39041 5537 43541 5812 39458 5713 38834 6029 40042 5846 39416 5740 39083 5942 39958 5690 38708 5545 38542 5811 47125 5627 43791 6047 40000 5989 39708 5932 39625 6081 40292 5770 39167 5801 39208 5901 39375 6039 40042 5652 38542 6220 40708 6012 39875 5480 38458 5763 38958 5662 38292 5773 38875 5742 39084 5599 38208
600 8125 52625 7678 50958 7941 51750 7309 49083 7372 49792 7251 47375 7414 46250 7454 45958 7137 45291 7079 45125 7336 46500 7215 45625 7105 44833 7151 45250 7591 51625 7328 47875 7310 48166 7401 48291 7886 50125 7066 47500 7575 52375 7748 50833 7468 50125 7520 50250 7514 49792 7145 48709 7332 49250 7242 49417 7175 48250 7889 49500 7454 47958 7430 48166 7340 48000 7215 47959 7302 47500 7040 47208 7181 47500 7045 47792 7373 47750 7346 48166
700 8752 59916 8990 59958 9089 59791 8671 58250 9032 59958 8877 59292 9291 60708 8960 57542 8817 57291 8754 57333 8698 56833 8663 56709 8688 56416 8750 57083 8775 56834 8822 57250 9112 58125 9206 59125 8874 57916 8839 57334 8857 57333 8686 56750 8811 57500 8729 57000 8912 57583 9933 61166 9749 60125 8828 56917 8822 57959 8563 56666 9005 57958 8883 57250 8774 57334 9181 57958 9176 58791 8780 57167 8964 56917 8988 57666 9274 58834 8808 57875
800 10274 69583 10769 70542 10587 70000 10715 69958 10758 70208 10342 68541 10886 70375 10002 78792 10753 86166 10447 69541 10574 69792 10266 68792 10189 68625 11157 71375 10499 69625 10986 71292 10111 68041 10032 66125 10887 69000 10255 67250 9959 65833 10276 67250 10969 69750 10293 67375 10184 66667 10477 67708 10351 66959 10550 67875 10445 67666 10252 67167 10559 67875 10448 67583 10579 68125 10114 66500 10529 67833 9905 65500 10537 67834 10160 67250 10508 68167 10447 67833
900 11816 79708 12315 85708 12540 81083 12042 86500 12073 84208 11953 79875 11963 84666 11965 79958 12048 77708 12184 78000 12636 79292 12871 80292 12227 77833 11449 75375 12067 78042 12154 78125 11944 77541 12202 78042 12262 78291 11869 77083 12235 82458 11877 77292 12468 79750 12192 85875 12123 88417 11335 74958 12006 76917 12655 79375 11933 76625 11479 75583 12137 77792 12410 78166 11783 76250 11922 77000 12558 78542 13383 81542 11917 77084 12279 77917 12155 78000 12020 77458
1000 13545 90250 13911 90583 15011 94375 14183 91417 14163 91459 14868 93333 13589 89042 14368 92459 14266 92458 14266 92834 13348 89625 13715 97834 13566 89459 13724 90416 13524 89125 13565 89792 13832 90375 14182 91875 13376 88791 14221 89500 13348 86667 13679 87500 14324 88917 14558 86625 13962 84292 14655 86833 13602 83375 13685 83750 13870 84292 14180 94250 13675 89875 13770 90375 14084 91458 14155 89584 13779 88125 14262 89166 13731 87916 14637 87500 13651 83334 14009 84541
1100 15485 101542 15393 100958 16219 103209 16072 102708 15813 102208 15503 99083 16877 101875 16692 101458 16443 101417 15646 99042 17346 104250 15398 98500 14880 97417 15283 98542 16639 102708 15573 98958 16271 100584 15320 98042 15546 98708 15382 97792 15571 98458 15723 99417 16128 100708 15810 99541 15733 98916 15831 99167 15827 99458 15782 98833 16072 100000 15318 97292 15816 98958 16555 100958 16639 107917 15300 100250 15331 100250 15438 105834 14974 99542 15018 99666 15340 101167 15894 102041
1200 16826 111000 17582 110541 17147 109542 18671 110000 16717 102541 17219 109667 17195 108958 18548 113250 17847 108875 17459 105125 17838 106250 16754 102959 18384 108167 16764 115542 17311 112208 17421 112708 16960 112083 17566 114500 17631 110875 17877 113333 17814 111125 16425 106542 18003 111375 17369 109292 17095 108500 18040 111375 17350 109667 18022 117292 17104 109292 17044 104416 17537 111042 18782 117292 17813 114083 17243 112500 17121 109958 17164 108917 16675 114333 17141 113291 17781 120667 18405 116042
